127.0.0.1 - - [15/Oct/2016:21:11:18 +0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:36 +0700] "GET /QLCaNhan/index.jsp HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:36 +0700] "GET /QLCaNhan/bootstrap/Css.css HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:36 +0700] "GET /QLCaNhan/angular-validate/font-awesome-4.6.3/css/font-awesome.css HTTP/1.1" 200 35134
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:36 +0700] "GET /QLCaNhan/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:36 +0700] "GET /QLCaNhan/plugin/fullcalendar.print.css HTTP/1.1" 200 5565
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:36 +0700] "GET /QLCaNhan/bootstrap/js/jquery-3.1.0.min.js HTTP/1.1" 200 86351
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:36 +0700] "GET /QLCaNhan/plugin/lib/cupertino/jquery-ui.min.css HTTP/1.1" 200 31516
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:36 +0700] "GET /QLCaNhan/plugin/fullcalendar.css HTTP/1.1" 200 30834
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:37 +0700] "GET /QLCaNhan/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:37 +0700] "GET /QLCaNhan/img/carousel1.jpg HTTP/1.1" 200 123578
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:37 +0700] "GET /QLCaNhan/img/carousel2.jpg HTTP/1.1" 200 318063
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:37 +0700] "GET /QLCaNhan/img/carousel4.jpg HTTP/1.1" 200 56007
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:37 +0700] "GET /QLCaNhan/img/carousel3.jpg HTTP/1.1" 200 370523
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:41 +0700] "GET /QLCaNhan/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:11:42 +0700] "GET /QLCaNhan/bootstrap/img/body-brackground.jpeg HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:21 +0700] "GET /QLCaNhan/index.jsp HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:25 +0700] "GET /QLCaNhan/bootstrap/Css.css HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:25 +0700] "GET /QLCaNhan/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:25 +0700] "GET /QLCaNhan/plugin/fullcalendar.print.css HTTP/1.1" 200 5565
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:25 +0700] "GET /QLCaNhan/angular-validate/font-awesome-4.6.3/css/font-awesome.css HTTP/1.1" 200 35134
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:25 +0700] "GET /QLCaNhan/plugin/fullcalendar.css HTTP/1.1" 200 30834
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:25 +0700] "GET /QLCaNhan/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
